date,Country,confirmed_cases
"Jun 2, 2020",India,198706
"Jun 2, 2020",United_States_of_America,1811277
"Jun 2, 2020",Brazil,526447
"Jun 3, 2020",India,207615
"Jun 3, 2020",United_States_of_America,1831821
"Jun 3, 2020",Brazil,555383
"Jun 4, 2020",India,216919
"Jun 4, 2020",United_States_of_America,1851520
"Jun 4, 2020",Brazil,584016
"Jun 5, 2020",United_States_of_America,1872660
"Jun 5, 2020",India,226770
"Jun 5, 2020",Brazil,614932
"Jun 6, 2020",India,236657
"Jun 6, 2020",United_States_of_America,1897838
"Jun 6, 2020",Brazil,645762
"Jun 7, 2020",Brazil,672837
"Jun 7, 2020",India,246628
"Jun 7, 2020",United_States_of_America,1920061
"Jun 8, 2020",India,256611
"Jun 8, 2020",United_States_of_America,1942363
"Jun 8, 2020",Brazil,691758
"Jun 9, 2020",Brazil,707412
"Jun 9, 2020",India,266598
"Jun 9, 2020",United_States_of_America,1961185
"Jun 10, 2020",India,276583
"Jun 10, 2020",Brazil,739503
"Jun 10, 2020",United_States_of_America,1979850
"Jun 11, 2020",India,286579
"Jun 11, 2020",Brazil,772416
"Jun 11, 2020",United_States_of_America,2000464
"Jun 12, 2020",India,297535
"Jun 12, 2020",Brazil,802828
"Jun 12, 2020",United_States_of_America,2023347
"Jun 13, 2020",Brazil,828810
"Jun 13, 2020",India,308993
"Jun 13, 2020",United_States_of_America,2048986
"Jun 14, 2020",India,320922
"Jun 14, 2020",Brazil,850514
"Jun 14, 2020",United_States_of_America,2074526
"Jun 15, 2020",United_States_of_America,2094069
"Jun 15, 2020",Brazil,867624
"Jun 15, 2020",India,332424
"Jun 16, 2020",India,343091
"Jun 16, 2020",United_States_of_America,2114026
"Jun 16, 2020",Brazil,888271
"Jun 17, 2020",Brazil,923189
"Jun 17, 2020",India,354065
"Jun 17, 2020",United_States_of_America,2137731
"Jun 18, 2020",India,366946
"Jun 18, 2020",Brazil,955377
"Jun 18, 2020",United_States_of_America,2163290
"Jun 19, 2020",Brazil,978142
"Jun 19, 2020",India,380532
"Jun 19, 2020",United_States_of_America,2191052
"Jun 20, 2020",India,395048
"Jun 20, 2020",Brazil,1032913
"Jun 20, 2020",United_States_of_America,2220961
"Jun 21, 2020",Brazil,1067579
"Jun 21, 2020",United_States_of_America,2255119
"Jun 21, 2020",India,410461
"Jun 22, 2020",India,425282
"Jun 22, 2020",Brazil,1085038
"Jun 22, 2020",United_States_of_America,2280912
"Jun 23, 2020",India,440215
"Jun 23, 2020",Brazil,1106470
"Jun 23, 2020",United_States_of_America,2312302
"Jun 24, 2020",India,456183
"Jun 24, 2020",Brazil,1145906
"Jun 24, 2020",United_States_of_America,2347022
"Jun 25, 2020",Brazil,1188631
"Jun 25, 2020",India,473105
"Jun 25, 2020",United_States_of_America,2381361
"Jun 26, 2020",India,490401
